1,Sahlman,Colin,SO-2,Northern Arizona,3:33.96,2024 Bryan Clay Invitational,Apr 11,2024
2,Green,Nathan,SO-2,Washington,3:34.79,2024 Bryan Clay Invitational,Apr 11,2024
3,Strand,Ethan,SO-2,North Carolina,3:35.60,Duke Invitational,Apr 11,2024
4,Messaoudi,Fouad,JR-3,Oklahoma State,3:36.08,2024 Bryan Clay Invitational,Apr 11,2024
5,Wolfe,Parker,JR-3,North Carolina,3:36.25,Duke Invitational,Apr 11,2024
6,Murphy,Liam,JR-3,Villanova,3:36.48,2024 Bryan Clay Invitational,Apr 11,2024
7,Martin,Gary,SO-2,Virginia,3:37.66,2024 Bryan Clay Invitational,Apr 11,2024
8,Essayi,Anass,JR-3,South Carolina,3:38.25,Wake Forest Invitational,Apr 19,2024
8,Teffra,Abel,JR-3,Georgetown,3:38.25,2024 Bryan Clay Invitational,Apr 11,2024
10,Rop,Ezekiel,SR-4,Iowa State,3:38.28,2024 Bryan Clay Invitational,Apr 11,2024
11,Stitt,Alex,JR-3,Oklahoma State,3:38.35,John McDonnell Invitational,Apr 18,2024
12,Cook,Elliott,JR-3,Oregon,3:38.55,2024 Bryan Clay Invitational,Apr 11,2024
13,Khan,Parvej,FR-1,Florida,3:38.76,2024 Bryan Clay Invitational,Apr 11,2024
14,Plant,Nicholas,SO-2,Virginia Tech,3:38.98,Wake Forest Invitational,Apr 19,2024
15,Dilcher,Damien,SR-4,Iona,3:39.42,Wake Forest Invitational,Apr 19,2024
16,Porter,Wes,JR-3,Virginia,3:39.54,2024 Bryan Clay Invitational,Apr 11,2024
17,Wirth,Tyler,SR-4,Cincinnati,3:39.58,Wake Forest Invitational,Apr 19,2024
18,O'Donovan,Charlie,SR-4,Villanova,3:39.65,Raleigh Relays,Mar 28,2024
19,Basten,Isaac,SR-4,Drake,3:40.11,2024 Bryan Clay Invitational,Apr 11,2024
20,Witt,Harrison,JR-3,Princeton,3:40.18,Larry Ellis Invitational,Apr 12,2024
20,Gilmore,Camden,SR-4,Georgetown,3:40.18,2024 Bryan Clay Invitational,Apr 11,2024
22,Donahue,James,FR-1,Virginia,3:40.27,Raleigh Relays,Mar 28,2024
23,Neal,Aiden,FR-1,North Carolina,3:40.33,Duke Invitational,Apr 11,2024
24,Foster,Nick,SR-4,Michigan,3:40.36,LSU Battle on the Bayou,Mar 29,2024
25,Ewing,Joe,SO-2,Harvard,3:40.43,Raleigh Relays,Mar 28,2024
26,Kovacs,Ferenc,FR-1,Harvard,3:40.57,Wake Forest Invitational,Apr 19,2024
27,Dorenkamp,Evan,SR-4,Penn State,3:40.59,2024 Bryan Clay Invitational,Apr 11,2024
27,Anderson,Benne,FR-1,Syracuse,3:40.59,Virginia Challenge,Apr 19,2024
29,Cramb,Harvey,FR-1,Montana State,3:40.67,2024 Bryan Clay Invitational,Apr 11,2024
30,Malleck,Foster,SR-4,Boston University,3:40.72,Wake Forest Invitational,Apr 19,2024
31,Gabay,Austin,JR-3,Duke,3:40.73,Duke Invitational,Apr 11,2024
32,Whitmarsh,Sam,JR-3,Texas A&M,3:40.74,Tom Jones Memorial Invitational,Apr 12,2024
33,Strangio,Matt,JR-3,Portland,3:40.75,2024 Bryan Clay Invitational,Apr 11,2024
34,Ackley,Daelen,SO-2,Notre Dame,3:40.77,Wake Forest Invitational,Apr 19,2024
35,Karas,Owen,SO-2,Yale,3:40.80,Wake Forest Invitational,Apr 19,2024
36,Crull,Jack,JR-3,Bradley,3:40.83,Raleigh Relays,Mar 28,2024
37,Danzi,Michael,SR-4,Columbia,3:40.87,Wake Forest Invitational,Apr 19,2024
37,Hamlin,Jesse,JR-3,Butler,3:40.87,2024 Bryan Clay Invitational,Apr 11,2024
39,Murphy,Conor,SR-4,Virginia,3:40.88,Raleigh Relays,Mar 28,2024
40,Ponder,Cameron,SR-4,Furman,3:40.90,Wake Forest Invitational,Apr 19,2024
41,Castro,Juan Diego,JR-3,Azusa Pacific,3:40.93,Mangrum Invitational,Mar 22,2024
41,McFarland,Trent,FR-1,Michigan,3:40.93,Wake Forest Invitational,Apr 19,2024
43,Fajardo,Roberto,SR-4,Lee (Tenn.),3:40.98,Georgia Tech Invitational,Apr 19,2024
44,Specht,Paul,SO-2,Wake Forest,3:40.99,Wake Forest Invitational,Apr 19,2024
45,Donoghue,Sean,JR-3,Villanova,3:41.02,2024 Bryan Clay Invitational,Apr 11,2024
45,Sharp,Jackson,SR-4,Wisconsin,3:41.02,Stanford Invitational,Mar 29,2024
47,Gilstrap,Collin,FR-1,Stony Brook,3:41.03,Raleigh Relays,Mar 28,2024
48,Gomez,Cruz,SR-4,Ole Miss,3:41.29,Joe Walker Invitational,Apr 5,2024
49,Comber,Devon,SO-2,Villanova,3:41.32,2024 Bryan Clay Invitational,Apr 11,2024
50,Hackett,Damian,JR-3,Cornell,3:41.34,Virginia Challenge,Apr 19,2024
51,Wilson,Ryan,SR-4,Duke,3:41.36,Duke Invitational,Apr 11,2024
52,Guerra,Lucas,SO-2,Georgetown,3:41.37,Wake Forest Invitational,Apr 19,2024
52,Wittstadt,Beck,JR-3,Duke,3:41.37,Raleigh Relays,Mar 28,2024
54,Gebhardt,Jake,SR-4,North Carolina,3:41.40,Duke Invitational,Apr 11,2024
55,Kinnane,Ryan,SR-4,Auburn,3:41.42,Pepsi Florida Relays,Mar 29,2024
56,Prodanov,Martin,SR-4,Florida State,3:41.58,Wake Forest Invitational,Apr 19,2024
56,Cherry,Christopher,JR-3,Tennessee,3:41.58,Wake Forest Invitational,Apr 19,2024
58,Givens,Isaiah,SO-2,Colorado,3:41.59,2024 Bryan Clay Invitational,Apr 11,2024
59,Samuel,Habtom,FR-1,New Mexico,3:41.61,2024 Bryan Clay Invitational,Apr 11,2024
60,Khchina,Jaouad,FR-1,South Carolina,3:41.63,Tom Jones Memorial Invitational,Apr 12,2024
61,Harrison,Rheinhardt,FR-1,Oregon,3:41.64,2024 Bryan Clay Invitational,Apr 11,2024
62,Swanepoel,Rynard,JR-3,Wake Forest,3:41.70,Duke Invitational,Apr 11,2024
62,Scales,Gabe,SO-2,Ole Miss,3:41.70,Joe Walker Invitational,Apr 5,2024
64,Santorum,Luca,FR-1,Cumberlands,3:41.79,Raleigh Relays,Mar 28,2024
65,Muhammad,Maddon,JR-3,Charlotte,3:41.82,Wake Forest Invitational,Apr 19,2024
66,Hardin,Max,FR-1,Auburn,3:41.83,Pepsi Florida Relays,Mar 29,2024
67,Legendre,Romain,JR-3,Adams State,3:41.84,2024 Bryan Clay Invitational,Apr 11,2024
68,Sado,Yasin,SR-4,Virginia,3:41.86,2024 Bryan Clay Invitational,Apr 11,2024
69,Badia,Jan,JR-3,Eastern Kentucky,3:41.89,Wake Forest Invitational,Apr 19,2024
70,Coleman,Ethan,SO-2,Virginia Tech,3:41.90,Wake Forest Invitational,Apr 19,2024
71,Jha,Arjun,SR-4,Michigan,3:41.97,Wake Forest Invitational,Apr 19,2024
72,Bove,Davis,SR-4,Cal Poly,3:42.04,2024 Bryan Clay Invitational,Apr 11,2024
73,Schneider,Parker,SO-2,Boston University,3:42.05,Wake Forest Invitational,Apr 19,2024
74,Flemington,Riley,SO-2,Michigan,3:42.06,Wake Forest Invitational,Apr 19,2024
75,Dagane,Zubeir,SR-4,Duke,3:42.07,Duke Invitational,Apr 11,2024
75,McCormick,Connor,SO-2,Princeton,3:42.07,Larry Ellis Invitational,Apr 12,2024
77,Houser,Luke,SR-4,Washington,3:42.12,2024 Bryan Clay Invitational,Apr 11,2024
78,Rush,Edward (EJ),JR-3,Texas Tech,3:42.13,2024 Bryan Clay Invitational,Apr 11,2024
79,Coles,Aiden,SO-2,Iona,3:42.14,Wake Forest Invitational,Apr 19,2024
80,Winslow,Jake,SR-4,Duke,3:42.18,Duke Invitational,Apr 11,2024
81,Hoeft,Eli,SR-4,Minnesota,3:42.23,Raleigh Relays,Mar 28,2024
82,Martin,Travis,JR-3,Connecticut,3:42.24,Wake Forest Invitational,Apr 19,2024
83,Bendtsen,Nicholas,JR-3,Princeton,3:42.26,Larry Ellis Invitational,Apr 12,2024
84,Boler,Collin,FR-1,Princeton,3:42.35,Larry Ellis Invitational,Apr 12,2024
85,Harris,JaQuavious,SO-2,Salt Lake,3:42.47,Mangrum Invitational,Mar 22,2024
86,Nyman,Nick,SR-4,Georgia Tech,3:42.56,Georgia Tech Invitational,Apr 19,2024
86,McManus,Rob,SO-2,Montana State,3:42.56,2024 Bryan Clay Invitational,Apr 11,2024
88,Hammond,Rhys,SR-4,Cornell,3:42.57,Larry Ellis Invitational,Apr 12,2024
89,Cawthra,Cooper,JR-3,Texas A&M,3:42.58,Stanford Invitational,Mar 29,2024
90,Cann,Jacob,SR-4,San Francisco,3:42.62,2024 Bryan Clay Invitational,Apr 11,2024
91,Hughes,Zach,SR-4,NC State,3:42.63,Wake Forest Invitational,Apr 19,2024
92,Hengst,Dalton,SR-4,Tennessee,3:42.67,Wake Forest Invitational,Apr 19,2024
92,Er Raouy,Taha,FR-1,Eastern Kentucky,3:42.67,2024 Bryan Clay Invitational,Apr 11,2024
94,Clayton,Jason,JR-3,Loyola (Ill.),3:42.75,2024 Bryan Clay Invitational,Apr 11,2024
95,dosReis,Joe,SR-4,Wisconsin,3:42.76,Wake Forest Invitational,Apr 19,2024
96,Kemp,Marcus,SR-4,Eastern Michigan,3:42.77,Wake Forest Invitational,Apr 19,2024
97,Mountain,Nathan,JR-3,Virginia,3:42.78,2024 Bryan Clay Invitational,Apr 11,2024
98,Daschbach,Leo,SO-2,Washington,3:42.84,2024 Bryan Clay Invitational,Apr 11,2024
99,Walsh,Finn,JR-3,Pittsburgh,3:42.92,Wake Forest Invitational,Apr 19,2024
100,Eliason,Jack,SR-4,Virginia,3:43.00,Raleigh Relays,Mar 28,2024
