1,Ramsden,Maia,JR-3,Harvard,4:07.30,Wake Forest Invitational,Apr 19,2024
2,Kosgei,Judy,FR-1,South Carolina,4:07.65,Wake Forest Invitational,Apr 19,2024
3,Foerster,Chloe,SO-2,Washington,4:07.96,2024 Bryan Clay Invitational,Apr 11,2024
3,Butler,Lindsey,JR-3,Virginia Tech,4:07.96,Wake Forest Invitational,Apr 19,2024
3,Riggins,Melissa,JR-3,Georgetown,4:07.96,2024 Bryan Clay Invitational,Apr 11,2024
6,Kazimierska,Klaudia,SO-2,Oregon,4:08.43,2024 Bryan Clay Invitational,Apr 11,2024
7,Flockhart,Shannon,JR-3,Providence,4:08.84,Raleigh Relays,Mar 28,2024
8,Jepkirui,Billah,SO-2,Oklahoma State,4:08.93,2024 Bryan Clay Invitational,Apr 11,2024
9,May,Kimberley,JR-3,Providence,4:09.22,Raleigh Relays,Mar 28,2024
10,Ayyildiz,Silan,SO-2,Oregon,4:09.34,114th Drake Relays,Apr 24,2024
11,Elmore,Maddy,SO-2,Oregon,4:09.36,2024 Bryan Clay Invitational,Apr 11,2024
12,Schein-Becker,Teagan,SR-4,Rider,4:09.87,Penn Relays,Apr 25,2024
13,Galvydyte,Gabija,JR-3,Oklahoma State,4:10.53,2024 Bryan Clay Invitational,Apr 11,2024
14,Bush,Samantha,SR-4,NC State,4:10.92,Wake Forest Invitational,Apr 19,2024
15,Scatchard,Mena,JR-3,Princeton,4:11.10,Wake Forest Invitational,Apr 19,2024
16,Vanasse,Nicole,SR-4,Columbia,4:11.39,Wake Forest Invitational,Apr 19,2024
17,Appleton,Margot,JR-3,Virginia,4:11.41,2024 Bryan Clay Invitational,Apr 11,2024
18,Chamberlain,Riley,SO-2,BYU,4:11.52,Stanford Invitational,Mar 29,2024
19,Asekol,Flomena,SR-4,Florida,4:11.55,2024 Bryan Clay Invitational,Apr 11,2024
20,Rangel Batres,Lorena,SR-4,LSU,4:11.63,2024 Bryan Clay Invitational,Apr 11,2024
21,Nicholson,Laura,JR-3,Toledo,4:11.65,Wake Forest Invitational,Apr 19,2024
22,Lemngole,Doris,FR-1,Alabama,4:11.90,Crimson Tide Invitational,Apr 5,2024
23,Penn,Rylee,SR-4,Louisville,4:11.97,UCF Black & Gold Invite,Mar 15,2024
24,Nielsen,Julia,JR-3,Bradley,4:12.18,2024 Bryan Clay Invitational,Apr 11,2024
25,Mosley,Aniya,SO-2,Ohio State,4:12.34,Penn Relays,Apr 25,2024
26,Seeland,Esther,SR-4,Virginia,4:12.64,Raleigh Relays,Mar 28,2024
27,Workman,Anna,SR-4,Virginia,4:12.73,Raleigh Relays,Mar 28,2024
28,Rose,Michaela,JR-3,LSU,4:12.88,LSU Battle on the Bayou,Mar 29,2024
29,McTighe,Agnes,SO-2,Florida State,4:13.01,Wake Forest Invitational,Apr 19,2024
30,Altorf,Suus,SO-2,Florida State,4:13.09,Crimson Tide Invitational,Apr 5,2024
31,Kane,Kileigh,SR-4,Penn State,4:13.15,Penn Relays,Apr 25,2024
32,Gordon,Penelopea,SO-2,Michigan,4:13.24,Wake Forest Invitational,Apr 19,2024
33,Caron,Florence,SO-2,Penn State,4:13.45,Penn Relays,Apr 25,2024
34,Sjoberg,Vera,SO-2,Boston University,4:13.77,Wake Forest Invitational,Apr 19,2024
35,Carlson,Alexandra,JR-3,Rutgers,4:14.04,Virginia Challenge,Apr 19,2024
36,Kain,Jessica,SR-4,San Diego St.,4:14.07,2024 Bryan Clay Invitational,Apr 11,2024
37,Novak,Sophie,JR-3,Notre Dame,4:14.13,Wake Forest Invitational,Apr 19,2024
38,Hertenstein,Bailey,SR-4,Colorado,4:14.17,Payton Jordan Invitational,Apr 26,2024
39,Morris,Gracie,SR-4,TCU,4:14.47,2024 Bryan Clay Invitational,Apr 11,2024
40,Thorner,Elise,SR-4,Florida,4:14.55,2024 Bryan Clay Invitational,Apr 11,2024
40,Olemomoi,Hilda,JR-3,Alabama,4:14.55,2024 Maroon and White Invite,Apr 26,2024
42,Howell,Olivia,SR-4,Texas,4:14.64,64th Annual Mt. SAC Relays,Apr 17,2024
43,Kitching,Hayley,SO-2,Penn State,4:14.75,Pepsi Florida Relays,Mar 29,2024
44,Duggan,Ava,SR-4,Northeastern,4:15.37,Penn Relays,Apr 25,2024
45,Cochran,Mia,FR-1,Arkansas,4:15.46,John McDonnell Invitational,Apr 18,2024
46,Rosenberg,Julia,JR-3,Vanderbilt,4:15.60,Outdoor Music City Challenge,Apr 26,2024
47,Chepngetich,Gladys,FR-1,Clemson,4:15.67,Tom Jones Memorial Invitational,Apr 12,2024
